17	104	apaiijxa	WGAT
12	14	apaiijxa	WGAT	
103	53	keoebzwq	yrkgawvcbigjqbskhwwriskviagffqdahooxjj	
9	180	tzghfzkx	ehgkwpawlmgxqfuaycdyhnayzptjmhivrlwpik	
155	99	zwpahyin	klizwvpcwburfrsibesogaylprqmleqtfrvchj	
72	126	frufkpfg	ozayqvmiojqleejavnmmhhpfcjbgwflhpqufeq	
60	172	jjnhoemv	jyhvjnewgwwrititpbabssdfuoykhkcrlfiaxl	
154	33	aneqkfxl	mbbkfxrwafhmyxehngsbzziqmtjnctbabpfxyn	
21	12	cfmugqwr	rqrcnpsvxmjlqhgwfokfvqaamtjaktndajjaap	
98	18	wptxwlaz	tbwosglqbwocgdsufgcnppfxvnqtvmclhmbnnl	
187	16	elyfwzbl	zdbapvvphfsrmyeoozmwmfesbpbogrlgcjewcd	
84	37	jvmjsyqg	xrbzwdlirozrbuyrrfcvslwbpvoyxqbycgynlg	
74	68	dtgafkeh	tigtnzezacljrdnhmibvuqhrdyeumgudsxralk	
102	124	rhxmitzp	kiobpwqeiairhwxvjlebzuzvixbjfejowayjem	
37	91	vhiravxw	vvfjoiyrspapheutlheonxxqyoktvpdnyudscs	
138	14	ytmmxhlh	oyyqcnuesikawicwllachzoyetnkzpgdfcxhvp	
137	2	owecesbm	bqggbzkqziouhqsphliyodhrjwxhoplbzubsma	
117	29	gpflxikb	nhhkwfwjjezstrnjbjcehaixqxvxblnwutrhyd	
164	81	lthfqfcf	irtmweoeatmwhafycrpmtafcwwnyqesrxokdbg	
149	184	bqdxgyas	bbnyjptqqpuikfhqxnblngpslljasmrvfjhxnz	
46	144	msaewfym	aqkyghtplgqpncxbszbyjpijkyujjhjplmwyji	
11	136	vuucszjc	mrervdwfmhmmhmlgcgletgjwmdiblgmrqyflls	
163	151	polzdizc	uoycmakmetgnfbyghqojapfuuueihehwyftqxb	
139	14	uqmmsnrb	krhwwhzcexthgfinvfyjhrqcfijufsyutvjceh	
120	188	haienxtv	apmzgnxjgqqwofofzrubcewlimdokaswkjeaja	
176	184	oarabwyf	mfppforiktpcitbbgmsvglryrawwkfmcyrwjzq	
81	112	ppxsqxtt	xgyjzyypmtzczukghdfbtczkujzcabxcjdnjkm	
192	29	ozqickke	njdcehuggvigslijtlzejgpnlhyfylloylkwck	
91	9	ueocweed	xzmntkgfzlhwmcptnxapkidxwweglucsqzusls	
51	190	glqzbufq	adjvwfowshprljzrgtxxcsbuoghizouokeyehx	
190	182	qmuyevzc	fwmooshqtzfzmkuafefgsnblhihvwcwurrxrae	
197	121	cuolbsou	ohcfbwlgftcbtenagkqygbocttszystanqqfku	
89	25	xlrililr	digssbrqyqzhvijfcfemoamgnvfjdnrqtbhsha	
168	77	csknuydr	rxrpbbczjgitkwyjqvkcgaawwagceryfrclerr	
127	187	suirzbtu	cbflycgtogptthvxxzsgwjgqvmjisetpidmtqa	
159	53	yvvyddsw	jqnptfxfnqzzspazhhyxlzeygzgwuagwpbkshv	
131	96	beaoekiw	bitujiaexgjwibmfpjqcuwudoimygugywguoyq	
132	166	slmulvxf	lejqgfpmfpnaynfrdvycrditfyslgupchlsfks	
7	36	bftbedcb	vqrhghxpetdzuopwxoxgvrpuaqydzyndlsuavt	
20	189	koxdncti	yyoyatjjatdkdhhpgymvtbuincryxsvypntdbu	
2	55	ljvmaeth	yucyptiqnnxmrextusgavevklxvextvczphzvx	
184	126	mgkwqdhl	yelzgxxwyjhqfhcnzyzmclqqxtuegymwjiscxt	
41	4	vbawjmec	nhfyiwerpeythexdqicjbcjykixgtsimosuwrd	
169	50	dfsotjof	nycpbfvauvzbyckwxczlhurfqfqisitapyjykp	
135	31	gkjjuxad	xsqwadovkaqmgojxwcibqhtotwvedoudsgbajb	
19	39	elyilduc	aaxwqvrbkewfmalhzubsaoqdyjkxpzszizqwty	
188	49	tchxduyl	zuivbojfowsyokpjaygbvorhpslsflzytksiyn	
130	65	mlichnqg	rmxwqbxxyzoodmluimxubfdwlasdabbrblnomi	
140	87	ikekbkfw	wjwzucdrjkhgbqurujoqvnozltwtrdecmwwcll	
179	197	zknpxeau	psjjwjllnqfecesmvlqxxmltvcmjgkbiwxrshp	
148	60	nsypcpbo	yuglojtflqztugpbyrboapyrtccbjopcodtyan	
5	152	xlgrqmzh	dbsbhkuypvaxunkxcqbcmpfeeqzbgtiuieplhe	
125	45	uuygnkux	dweeqqwbbiastwepdqikqaceigsijkctpohxhh	
64	133	deowynrp	ystdcemhpgkuyocxbtxpdaejpzabetmbmqbqzh	
97	182	wszaijpr	yckesqvuyadpdirkvvtldzdcbytnbazsgekinp	
31	24	kcwvrqaa	vokuxhpdmiwkfxolumslvhgpawszcdzptgerdq	
182	144	wbzxjpix	grcspfamgspahqgpmeqkuaimjdoprvcoruwboo	
32	113	bfbwbpwb	myzqfkpdxkewucmwjiqejzyghpuujvdyuyqtvi	
196	66	ywxexupx	gaqisrloofosblwyuxyzejuvgizgyobmjiqfgb	
30	34	pbvzwgfh	uaqcxdvferhstfvqxubdkhxodqhhexanrximzi	
44	149	kdvihczn	hojtembkajvqzqumezzefqdvufcpwyswadjonc	
80	191	cavqetie	nqtvkkwhcrwqhexbzkyexncosgbiclndxuljgs	
82	27	pbzmfmcs	kfmqagtrwrnzltiwxofqadldyfpvpxshowpiob	
92	182	qntafaep	xxgiroolefyormbjodhdmmomdiqyhrbkpcipht	
143	122	iabihmyc	vydecrmvotmtqgyjoxlzjjhmsbjsamoswsrcjm	
59	143	nokghhag	qypnqfbapkthyoikzggkfkiorwcubfndbhotlg	
109	183	jdbojljc	rdujwxwkhumrhcwxgbyewxcfazzpjibddqxqjh	
147	165	lpdzkdss	mprptfpsduyydudoruggclsklhxsronycnsfcn	
112	131	rvyfckfm	dkdovsxwqnfvyqjtlxhggvhwfeuqedrpwotkgi	
83	6	mvoflanv	jycckjtzeixdgzoacnpbhmxkniyqcyanzzfahc	
17	104	apaiijxa	aejhpvmzfjpkbablmizckknggblxpxmqvihyvx	
17	104	apaiijxa	aejhpvmzfjpkbablmizckknggblxpxmqvihyvx	
17	104	apaiijxa	aejhpvmzfjpkbablmizckknggblxpxmqvihyvx	
17	104	apaiijxa	aejhpvmzfjpkbablmizckknggblxpxmqvihyvx	
17	104	apaiijxa	aejhpvmzfjpkbablmizckknggblxpxmqvihyvx	
17	104	apaiijxa	aejhpvmzfjpkbablmizckknggblxpxmqvihyvx	
17	104	apaiijxa	aejhpvmzfjpkbablmizckknggblxpxmqvihyvx	
53	190	twpyuzbq	vclsmguopbiqymmpxvpgjvevlkwhqzqkavddqq	
18	87	etfgkfuv	sggvwgiqxorcjxlzdaxupkzpjycvcajacrdqyv	
27	106	mfdogegv	icbdllotilokncxhumdphewigdgaqwjcqwsajb	
75	36	dcpsnghc	ddjvktywpqnpflbausatrnivvodcemwqqdiosa	
95	99	uvkervkj	dnulbemltbswnczktyipurckzlxuxxecmbqfeg	
118	73	gmvconyt	mntwibopythqwhwvsskzbgpdtkqpafjxoestzc	
108	72	jxxuccne	ixmuuwgpbxkfayshcntvyecfhlfflcjcuiqscp	
160	184	wpqyjyno	vmwipyvlekaruudezbqtcamwvoogcxsrnfnhov	
123	99	pkyfygae	kpvepioskbqzvtbrsdcmhvoirdlbojrcrqddzd	
170	53	twwxzcls	owgiagrdemkccbfdeoyzfgavkzjpcdsbjbvele	
152	173	rmzzmaju	kxwlifuycyglmfrvwtxboiscwjdsecdtpacqhi	
39	194	uxlwwksn	ziausnccsfoqcignynopmcvqnzahhabgygmyjq	
78	132	jxeuabzg	kogiiyuxvmeurvyhgjqwmwiwprhuwecmrlglvp	
33	92	mginchkh	tadolfofeewamhkzeubqgqoxrhiehyrjofcvqr	
29	179	abfugtri	ncvthcpfjwdijnggijhcadrhzbgelplaajrbui	
25	141	pwrxvlpa	cyuckogjzmqhsohtcaosorjdkdmkgkzgubvmbs	
113	186	hbhetsqj	pguqarsnaqjqrldoismhzfnfnmpqhozaprdoch	
43	114	tebltnmc	wmiqoqjmpqmlsxpntwfskrufbvxnwaemcyelsr	
42	118	qfswvijy	mdhskmgxbidscazwyvkkiygwmulplruncavfua	
100	26	rphglaok	csryznwriggilobtizwuxetmjlgksilmzoqnyg	
157	149	yrpkxcra	awvneedvhjngwgkbtkzoidjoszklphlklsbcma	
76	65	hxqglcsk	rbguahegbqzlnipvtacjmsuylkmsjtlwfaoupl	
14	118	mijkymgs	obbawowlsxmojvwrjexevznvxycjeiuegcxgee	
24	127	ugfspnhr	xbskdynzlxoivnmtfonafbuiqthhnbkgetewzm	
6	140	nfbwnwhz	nzsmicjzjoiofadrszaleoavkbxmggucfwsmdb	
56	131	xycawsbf	eluhvwpjerbhmiyubwvipxvcvrqhigtbjndyyj	
105	61	heyxcfkd	lxsviuunvmpngjvwodxheattcvmszduniruhpl	
185	34	xfssbjqw	duibzsqhqlupwluorruqkmunclquxorethutfy	
183	83	dcingkeg	sjdmbortwxededhhqbrjdjgonjvywpsomrenpp	
85	73	cfzbrrkm	akblegutwisweifrchrnqaulayqndgpyfgtulu	
36	16	petytpit	iaapfvjurlzczcvgfmsuronypuwwfvvmygmzhs	
